rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
677,11/11/1971,1012,223,82,RAD,12/31/1995,A,2.4,3.52,"26,411",0,249,"10,894",0,"21,149","9,735","3,734",0,"12,158",0,"12,158",0,0,0,"6,665","6,665",0,1,3,0,"9,972","12,158",9,3,6,0,0,0,9,0,0,0,0,2,0,0,9,0,0,0,0
678,04/11/1972,331,149,156,RAD,12/31/1995,A,1.62,4.37,"515,227","59,942","31,363","262,242",0,"339,926","153,750","75,905",0,"150,408","3,998","146,410",0,0,0,"154,208","154,208",0,22,3,0,"786,170","150,408",160,40,120,0,0,0,160,0,0,3,0,1.89,0,42,94,24,0,0,0
681,7/31/1974,587,148,155,SEC13A,12/31/1995,A,2.52,1.42,"729,999","173,996","41,473","204,412",0,"285,727","242,102","40,576",0,"88,890",0,"88,890",0,0,0,"83,880","83,880",0,11,2,0,"452,153","88,890",96,24,72,0,0,0,96,0,0,3,0,1.73,0,36,50,10,0,0,0
682,4/24/1973,864,228,51,SEC236,12/31/1995,B,1.01,0.51,"47,779","14,637","2,470","30,496",0,"21,442","47,664","5,934",0,"11,600","1,500","10,100","1,400",0,0,"10,005","8,605","1,400",1,6,1,"4,459","13,000",15,0,15,0,0,14,1,0,0,1,0,1.07,1,12,2,0,0,0,0
684,5/22/1974,455,147,154,SEC236,12/31/1995,F,0.88,0.64,"266,630","34,070","27,315","234,420",0,"139,422","254,171","37,500",0,"72,000",0,"72,000",0,0,0,"63,900","63,900",0,1,7,2,0,"72,000",94,38,56,0,0,94,0,0,0,0,0,1.14,0,81,13,0,0,0,0
685,04/11/1972,568,318,52,INTERN,12/31/1995,B,1.37,0.74,"786,562","57,651",0,"531,738",0,"257,639","456,153","105,674",0,"154,072","11,147","142,925","13,500",0,"29,248","97,515","85,115","12,400",1,16,3,"14,419","196,820",127,25,0,102,0,0,127,0,0,0,0,1.14,16,83,22,6,0,0,0
686,10/01/1971,73,319,65,RADDEC,12/31/1995,B,1.03,0.67,"252,268","23,292","1,701","209,654","11,780","77,049","143,795","28,700",0,"105,134","5,772","99,362",0,0,0,"97,552","97,552",0,12,3,0,"489,375","105,134",100,58,42,0,0,0,100,0,0,0,0,2.48,0,36,12,25,22,5,0
687,2/29/1972,773,140,150,SEC236,12/31/1995,A,2.11,5.58,"1,246,585","277,409","31,166","444,792",0,"2,792,795","613,062","108,389","4,580","252,013","5,162","246,851",0,0,"11,810","201,150","201,150",0,16,3,0,"650,351","263,823",201,181,20,0,0,0,201,0,0,5,0,2.5,0,30,70,71,30,0,0
690,5/23/1973,753,229,15,RAD,12/31/1995,A,1.12,1.19,"1,033,922","225,183","8,153","713,225",0,"320,435","388,989","120,482",0,"236,640","4,218","232,422",0,0,0,"231,640","231,640",0,20,2,0,"889,715","236,640",300,75,200,25,0,0,300,0,0,0,0,1.41,0,176,124,0,0,0,0
691,09/11/1973,103,99,69,SEC236,12/31/1995,A,0.93,3.18,"259,286","85,770","4,879","181,803",0,"343,050","142,005","34,000",0,"129,908","38,148","91,760",0,0,0,"91,760","91,760",0,11,3,0,"402,930","129,908",100,25,56,19,0,0,100,0,0,1,0,1.96,0,16,72,12,0,0,0
694,03/06/1973,516,149,156,INTERN,12/31/1995,A,1.3,1.35,"1,925,812","404,761","59,290","1,127,000",0,"1,166,392","1,086,174","223,862",0,"504,000","19,000","485,000","2,000",0,0,"374,500","372,500","2,000",3,14,6,0,"506,000",465,377,0,88,0,173,292,0,0,27,0,1.6,0,184,281,0,0,0,0
696,7/13/1972,812,92,36,SEC13A,12/31/1995,A,1.48,1.91,"924,298","96,034","4,465","555,105",0,"387,405","304,817","101,568",0,"173,040","3,000","170,040","8,000",0,0,"144,584","136,584","8,000",1,22,2,"49,940","181,040",213,3,157,53,0,0,213,0,0,2,0,1.3,22,106,85,0,0,0,0
